folioviv;clave;gasto_tri;frecuencia
0773233;A002;5396,77;5
0773233;E001;3187,76;3
0773233;B001;2124,28;3
0773233;A001;4332,12;1
0773233;C001;500,49;3
0773233;B002;436,4;4
0382982;A001;2719,8;2
0382982;B001;2529,67;2
0382982;B002;1754,94;5
0382982;C001;5248,52;1
0348747;E001;2660,03;6
0348747;B002;1607,34;2
0348747;B001;435,64;5
0348747;C001;10072,73;3
0348747;A001;9215,37;2
0348747;A002;2422,32;3
0224990;E001;3687,46;6
0224990;A001;1572,45;3
0224990;F001;764,07;1
0224990;C001;1436,62;6
0224990;D001;1811,29;1
0224990;B002;1506,8;1
0224990;A002;931,66;2
0448777;A001;3776,8;2
0448777;F001;641,54;4
0448777;D001;3525,02;2
0448777;B002;1633,87;1
0448777;A002;2016,08;4
0448777;C001;1742,39;6
0770039;F001;1115,04;6
0770039;A001;2727,93;6
0770039;C001;2846,25;4
0770039;E001;1384,12;3
0770039;A002;3120,71;6
0770039;B001;4592,8;5
0770039;B002;2228,64;3
0770039;D001;1024,9;6
0869136;A002;694,89;2
0869136;C001;1408,72;2
0869136;A001;6390,45;5
0869136;D001;1246,49;2
0869136;B001;6329,35;4
0869136;B002;1203,91;4
0869136;E001;12051,94;1
0869136;F001;3162,04;4
0502830;A002;12216,5;4
0502830;A001;1383,61;6
0502830;D001;3123,8;5
0502830;B002;4641,58;1
0502830;F001;3338,52;6
0321531;D001;1101,2;3
0321531;A002;1089,98;1
0321531;B001;4088,51;1
0321531;E001;3105,71;4
0377210;D001;4904,29;4
0377210;A001;457,34;1
0377210;C001;1392,38;5
0377210;F001;851,13;3
0377210;A002;945,7;5
0377210;B002;703,3;6
0377210;B001;2566,08;4
0377210;E001;518,1;4
0205991;B001;829,26;5
0205991;C001;4617,86;6
0205991;D001;830,17;4
0519385;E001;2760,63;5
0519385;F001;3294,72;4
0519385;C001;2487,4;2
0519385;B002;4246,06;6
0519385;D001;847,78;4
0519385;A001;1864,52;5
0519385;A002;915,6;2
0860303;F001;2898,3;2
0860303;A001;6036,88;1
0860303;B001;1696,5;2
0860303;E001;2077,94;2
0860303;B002;7373,11;1
0860303;C001;2452,17;5
0860303;D001;837,55;4
0936615;C001;742,52;3
0936615;A001;6326,44;5
0936615;F001;18367,14;2
0936615;A002;590,42;1
0936615;B002;8697,9;5
0936615;E001;961,06;6
0936615;D001;2894,81;6
0507703;E001;468,74;5
