folioviv,entidad,nom_ent,tam_loc,tot_integ,ing_cor,gasto_mon,factor
0773233,22,Querétaro,1,3,35847.45,22717.13,913
0382982,16,Michoacán de Ocampo,2,7,75262.01,102714.05,1058
0348747,20,Oaxaca,9,6,,37736.44,596
0224990,20,Oaxaca,9,4,99132.64,132202.42,1178
0448777,09,Ciudad de México,1,1,106901.24,76266.4,983
0770039,31,Yucatán,4,2,37024.57,32982.52,187
0869136,22,Querétaro,2,3,42295.54,28327.43,173
0502830,16,Michoacán de Ocampo,3,5,44898.81,35807.37,527
0321531,09,Ciudad de México,1,2,127368.55,114275.91,81
0377210,22,Querétaro,1,3,41140.03,46457.08,276
0205991,09,Ciudad de México,2,3,81366.84,65156.27,806
0519385,22,Querétaro,1,3,67081.3,38001.41,733
0860303,19,Nuevo León,1,2,75374.88,67436.14,764
0936615,20,Oaxaca,2,3,128980.69,121962.63,801
0507703,19,Nuevo León,1,2,23749.15,19966.42,135
0913292,22,Querétaro,4,4,62316.03,61067.49,154
0372425,20,Oaxaca,1,3,65542.26,58739.37,1079
0509159,09,Ciudad de México,1,1,27141.84,19909.07,82
0738504,09,Ciudad de México,2,4,12789.34,10074.39,919
0660276,09,Ciudad de México,1,2,103191.77,77460.08,430
0348547,20,Oaxaca,2,2,48047.98,42390.93,438
0432071,16,Michoacán de Ocampo,2,2,77865.75,91598.38,376
0492938,31,Yucatán,1,5,61884.6,62006.85,187
0707051,31,Yucatán,4,4,40309.33,39959.63,269
0382409,22,Querétaro,1,5,89320.26,129367.95,912
0971082,31,Yucatán,3,5,51140.18,39446.93,309
0584549,16,Michoacán de Ocampo,9,5,95017.66,78877.88,423
0626573,20,Oaxaca,1,3,232968.34,207153.71,651
0640709,22,Querétaro,1,5,55909.6,46515.9,1256
0630040,31,Yucatán,1,6,178368.52,140491.61,733
0980013,09,Ciudad de México,2,2,55576.59,70279.33,240
0424092,19,Nuevo León,4,1,11357.17,18905.08,419
0329880,16,Michoacán de Ocampo,1,4,148491.44,86974.33,855
0636898,16,Michoacán de Ocampo,1,6,121983.53,104057.83,350
0424483,19,Nuevo León,1,1,98707.8,84387.96,784
0271317,31,Yucatán,1,2,82443.03,79522.48,387
0824121,16,Michoacán de Ocampo,1,2,129678.58,116790.21,277
0913003,16,Michoacán de Ocampo,2,3,26156.82,42072.79,1182
0851711,22,Querétaro,1,3,9872.77,15912.55,670
0387885,22,Querétaro,1,4,62045.99,40791.22,579
0178429,16,Michoacán de Ocampo,3,3,74136.95,102034.56,1007
0196096,19,Nuevo León,2,5,46739,51838.94,239
0298584,22,Querétaro,1,1,49003.57,36991.93,1382
0178229,09,Ciudad de México,3,3,58613.21,57604.95,693
0800279,09,Ciudad de México,1,3,99860.7,107627.3,1329
0283642,20,Oaxaca,1,1,84031.78,77322.66,1298
0736602,20,Oaxaca,3,2,62182.84,45215.47,791
0297022,19,Nuevo León,3,4,30381.76,39552.3,236
0219951,09,Ciudad de México,1,2,70621.17,42127.83,926
0449063,31,Yucatán,4,3,46441.77,33678.57,527
0401591,09,Ciudad de México,3,3,43326.45,36437.44,409
0859047,22,Querétaro,3,4,99543.5,72034.23,294
0439246,19,Nuevo León,2,2,132550.91,88530.88,352
0702387,19,Nuevo León,2,3,39617.99,44721.37,463
0750786,20,Oaxaca,1,2,60934.98,45799.41,875
0815305,16,Michoacán de Ocampo,2,7,47571.74,34515.45,1306
0773283,31,Yucatán,1,3,128987.35,82440.98,1292
0361255,20,Oaxaca,2,4,98272.03,88422.57,91
0390784,20,Oaxaca,1,3,58636.26,79651.01,583
0638425,09,Ciudad de México,2,3,67826.85,59018.96,1253
0119688,20,Oaxaca,2,1,196099.85,137064.25,505
0443927,19,Nuevo León,2,3,39994.74,48052.13,400
0128514,22,Querétaro,3,2,55142.92,41215.89,1358
0256316,19,Nuevo León,4,2,47489.96,26223.66,709
0681997,19,Nuevo León,2,5,52549.78,47209.9,972
0152426,31,Yucatán,1,2,156334.54,182324.81,1274
0485835,09,Ciudad de México,1,3,79479.45,76309.95,256
0251356,22,Querétaro,4,4,23837.61,24303.94,302
0461718,19,Nuevo León,1,3,,55692.63,888
0272690,20,Oaxaca,1,4,50489.83,29229.25,1223
0109926,16,Michoacán de Ocampo,3,2,95196.97,52281.2,1043
0390618,22,Querétaro,4,3,55396.42,41574.52,153
0915361,20,Oaxaca,1,2,34850.46,38900.25,162
0628444,09,Ciudad de México,4,2,28157.53,19475.89,835
0300905,16,Michoacán de Ocampo,2,4,146354.54,94452.33,1291
0323826,16,Michoacán de Ocampo,4,3,60577.59,65694.99,1381
0593157,19,Nuevo León,3,4,79887.08,63879.76,718
0770338,19,Nuevo León,2,5,96276.86,96177.37,624
0769201,09,Ciudad de México,1,1,38138.01,42685.36,317
0815034,20,Oaxaca,2,1,16802.92,19430.31,82
0289595,22,Querétaro,3,3,22020.25,21822.71,750
0820751,22,Querétaro,1,6,33801.39,32819.41,920
0570316,22,Querétaro,3,2,32596.29,24445.6,864
0481118,31,Yucatán,1,1,38068.98,44437.27,426
0205868,31,Yucatán,1,3,27297.84,25831.44,717
0769859,19,Nuevo León,1,3,130404.93,109293.08,569
0768822,20,Oaxaca,1,4,68951.33,59594.29,1208
0950177,22,Querétaro,3,1,155627.59,108421.59,548
0266501,22,Querétaro,4,6,79654.38,52088.17,870
0520722,09,Ciudad de México,1,2,50215.92,52841.19,1023
0873316,09,Ciudad de México,1,3,42080.18,30057.52,952
0496697,22,Querétaro,4,6,50163.36,50498.19,1088
0350412,16,Michoacán de Ocampo,2,4,40427.28,46790.2,797
0942995,31,Yucatán,2,6,,76417.12,1210
0951969,09,Ciudad de México,2,1,,20753.32,849
0805124,20,Oaxaca,2,2,142107.34,140975.58,495
0381868,20,Oaxaca,1,2,44201.56,46320.27,758
0516936,20,Oaxaca,2,2,58448.38,61594.56,661
0846230,22,Querétaro,2,4,106690.73,66928.31,1255
0926162,20,Oaxaca,4,3,91012.03,96248.09,1392
0673250,20,Oaxaca,1,4,88116.59,69085.56,367
0801999,20,Oaxaca,1,2,50873.25,49381.13,734
0896750,20,Oaxaca,1,1,41232.45,40739.39,443
0907857,19,Nuevo León,4,1,35436.58,31298.63,604
0284253,16,Michoacán de Ocampo,2,6,52586.77,53661.96,975
0754749,09,Ciudad de México,3,2,34526.55,50308.16,591
0260037,22,Querétaro,2,3,34728.98,35548.43,840
