folioviv|numren|parentesco|sexo|edad|nivel_esc|ing_trab|factor
0773233|1|1|1|36|3|0|913
0773233|2|2|2|40|4|1930.28|913
0773233|3|3|1|26|1|1867.93|913
0382982|1|1|2|73|2|7956.28|1058
0382982|2|2|2|53|3|0|1058
0382982|3|3|1|29|1|3623.49|1058
0382982|4|3|2|38|1|1411.77|1058
0382982|5|3|1|15|3|n.d.|1058
0382982|6|3|2|22|2|0|1058
0382982|7|3|1|16|4|2209.85|1058
0348747|1|1|1|28|0|4861.96|596
0348747|2|2|1|84|2|17070.93|596
0348747|3|4|2|6|4|0|596
0348747|4|3|1|3|4|0|596
0348747|5|3|1|14|1|n.d.|596
0348747|6|3|2|28|2|2404.58|596
0224990|1|1|1|46|1|1422.11|1178
0224990|2|2|1|81|3|6163.45|1178
0224990|3|4|2|28|3|6656.54|1178
0224990|4|3|1|31|5|0|1178
0448777|1|1|2|44|3|7921.35|983
0770039|1|1|2|56|3|0|187
0770039|2|2|2|46|4|4228.97|187
0869136|1|1|2|31|2|2159.9|173
0869136|2|2|1|73|1|4152.55|173
0869136|3|3|2|1|1|0|173
0502830|1|1|2|38|4|8527.82|527
0502830|2|2|1|37|3|2830.01|527
0502830|3|3|2|34|3|3502.87|527
0502830|4|3|1|8|3|0|527
0502830|5|3|1|21|3|2148.81|527
0321531|1|1|1|31|2|3188.07|81
0321531|2|2|1|47|1|1702.33|81
0377210|1|1|1|72|2|7269.01|276
0377210|2|2|1|69|3|0|276
0377210|3|3|1|10|2|0|276
0205991|1|1|2|68|1|1735.36|806
0205991|2|2|2|47|4|16335.81|806
0205991|3|3|2|18|2|1701.12|806
0519385|1|1|2|73|3|8253.39|733
0519385|2|2|1|78|3|4005.83|733
0519385|3|4|1|28|3|2676.21|733
0860303|1|1|1|81|1|10340.58|764
0860303|2|2|1|42|1|1530.81|764
0936615|1|1|1|33|4|0|801
0936615|2|2|1|48|2|0|801
0936615|3|3|2|37|3|4563.26|801
0507703|1|1|2|76|1|4839.88|135
0507703|2|2|1|59|2|5119.33|135
0913292|1|1|1|44|1|1216.21|154
0913292|2|2|1|50|4|17403.59|154
0913292|3|3|2|10|1|0|154
0913292|4|3|1|18|1|856.28|154
0372425|1|1|1|84|2|8683.78|1079
0372425|2|2|2|73|1|4447.53|1079
0372425|3|3|1|37|1|1509.22|1079
0509159|1|1|1|31|2|2703.6|82
0738504|1|1|1|57|4|22995.65|919
0738504|2|2|1|32|2|0|919
0738504|3|3|2|2|2|0|919
0738504|4|4|1|32|4|9175.55|919
0660276|1|1|2|39|4|7784.92|430
0660276|2|2|1|61|1|n.d.|430
0348547|1|1|2|53|3|3047.78|438
0348547|2|2|1|63|0|3913.09|438
0432071|1|1|1|67|5|17308.93|376
0432071|2|2|1|84|4|0|376
0492938|1|1|1|35|1|5466.76|187
0492938|2|2|1|57|5|0|187
0492938|3|3|1|8|3|0|187
0492938|4|3|2|39||3263.56|187
0492938|5|3|2|19|3|1238.13|187
0707051|1|1|1|45|2|0|269
